node,year_construction,capacity_existing
PL,2002,0.1813668044301775
PL,2003,0.19467586969500617
PL,2004,0.01038880785071572
PL,2006,0.08824925747878631
PL,2008,0.3280762849309471
PL,2010,0.14393345201679542
PL,2011,0.10776498931133083
PL,2014,0.033881360635292346
PL,2015,0.5374496000969886
PL,2017,0.4255941128758578
PL,2019,0.177845984388171
PL,2020,0.2068246488321912
PT,2010,0.00778271037662288
PT,2011,0.0016266253174025552
PT,2012,0.012725825749470423
PT,2013,0.004019835838955807
PT,2017,0.003185967846366846
RO,1999,0.2371169230954259
RO,2007,0.3028867533123368
RO,2011,0.07819083932595991
RO,2015,0.0016133518690431877
RO,2016,0.12074250038447869
RO,2017,0.0031659435322217316
RO,2020,0.043560850098998745
RO,2021,0.43996667492963926
SE,2009,0.1765755759442157
SE,2010,0.03813869457742003
SE,2013,0.007777513267882008
SE,2016,0.12088660504923021
SE,2018,0.06874294253375346
SI,2000,0.030199867852419914
SI,2004,0.004304594743779597
SI,2006,0.010798632117858722
SI,2009,0.007467363751777807
SI,2010,0.0046735074256066805
SI,2011,0.016468627702658563
SI,2012,0.004593266061694731
SI,2016,0.003956472923563375
SI,2017,0.028085513714847184
SI,2018,0.009234783111571972
SI,2019,0.0372717392116772
SI,2020,0.02337349993659655
SK,2001,0.1602827691759533
SK,2002,0.30178920143478605
SK,2004,0.0908799152381683
SK,2011,0.028642727986816552
SK,2014,0.028450920019361448
SK,2016,0.023947659310996405
SK,2018,0.09274406912985411
SK,2020,0.04241942649395347
UK,1999,0.828895969091807
UK,2005,0.08462673207009597
UK,2006,0.04995141537522385
UK,2007,0.08182762563927559
UK,2009,0.048394992473392184
UK,2011,0.19459280839966375
UK,2013,0.10261885560871575
UK,2014,0.6090584926532021
UK,2015,0.09375671635381355
UK,2017,0.024894088373716095
